legacy_codigo,cnpj,nome,cidade,estado,telefone,fonte,metodo
021753,04013423000105,RODRIGO KOCH M.E.,BALNEARIO CAMBORIU,SC,047  3607967,BdGeral.Mdb:Geral,colunas_nomeadas
021754,01414788000145,CONSTRUTORA PIRES LTDA.,GOIANIA,GO,,BdGeral.Mdb:Geral,colunas_nomeadas
021755,77575330000130,INGRAX INDÚSTRIA E COMÉRCIO DE GRAXAS LTDA.,COLOMBO,PR,041 21067710,BdGeral.Mdb:Geral,colunas_nomeadas
021758,65994998000132,VANDERLEI A. ANSELMO E CIA LTDA.,ARTUR NOGUEIRA,SP,019 38771147,BdGeral.Mdb:Geral,colunas_nomeadas
021759,67895094000185,TORREBLANCA CONSTRUÇÕES E INCORPORAÇÕES LTDA.,ITANHAEM,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021760,76216480000275,SOLOFILER IND. E COM. DE CALCÁRIOS FINOS LTDA.,BOCAIUVA DO SUL,PR,041 36563935,BdGeral.Mdb:Geral,colunas_nomeadas
021761,60739414000240,BONETTO MATERIAIS P/ CONSTRUÇÃO LTDA.,PEDREIRA,SP,019 38933315,BdGeral.Mdb:Geral,colunas_nomeadas
021762,03325972000144,DISTRIBUIDORA QUIMIVALE LTDA.,ITAJAI,SC,047 33461797,BdGeral.Mdb:Geral,colunas_nomeadas
021763,54855499000148,COMÉRCIO E CONSTRUÇÃO CARLINHOS LTDA.,VINHEDO,SP,019 38761078,BdGeral.Mdb:Geral,colunas_nomeadas
021764,68899228000107,BASTOS MATERIAIS DE CONSTRUÇÃO LTDA.,LOUVEIRA,SP,019 38481972,BdGeral.Mdb:Geral,colunas_nomeadas
021765,85381911000169,JUNCKES MINERAÇÃO E TRANSPORTE LTDA.,TIJUCAS,SC,048 32630400,BdGeral.Mdb:Geral,colunas_nomeadas
021767,00998333000151,CAJIPAVI CONSTRUTORA COMÉRCIO E PAVIMENTAÇÃO LTDA.,CAJATI,SP,013 68541410,BdGeral.Mdb:Geral,colunas_nomeadas
021768,05737185000135,LILIAN DOS SANTOS CRUZ PEREIRA M.E.,ITANHAEM,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021769,55147656000123,CINCAL VINHEDO COMÉRCIO MATERIAIS CONSTRUÇÃO LTDA.,VINHEDO,SP,019 38762527,BdGeral.Mdb:Geral,colunas_nomeadas
021770,48180178000198,IND. COM. ART. CIM. MAT CONSTR. BORGES LTDA M.E.,JAGUARIUNA,SP,019 38671368,BdGeral.Mdb:Geral,colunas_nomeadas
021772,82105594000160,CONSTRUTORA E INCORPORADORA BARON LTDA.,BRUSQUE,SC,,BdGeral.Mdb:Geral,colunas_nomeadas
021773,05541563000100,R.A.S. PRATINHA MUDAS.,PARANAVAI,PR,044 34242999,BdGeral.Mdb:Geral,colunas_nomeadas
021774,05376255000177,BOVO MATERIAIS DE CONSTRUÇÃO LTDA.,APUCARANA,PR,043 34257272,BdGeral.Mdb:Geral,colunas_nomeadas
